doi,cluster_id
"10.1126/science.1238041","economics_business"
"10.1037/a0021524","psychology"
"10.1037/0022-3514.94.4.672","psychology"
"10.1126/science.1189993","psychology"
"10.1111/j.1467-9280.2008.02227.x","psychology"
"10.1111/j.1467-9280.2009.02426.x","psychology"
"10.1177/0956797616639727","psychology"
"10.1257/aer.101.2.526","economics_business"
"10.1037/0278-7393.34.2.302","psychology"
"10.1111/j.1467-9280.2008.02041.x","psychology"
"10.1037/pspi0000109","psychology"
"10.1037/0022-3514.94.3.429","psychology"
"10.1177/0956797618780643","psychology"
"10.1257/aer.102.1.337","economics_business"
"10.1037/0278-7393.34.3.478","psychology"
"10.1037/a0016795","psychology"
"10.1037/0278-7393.34.1.167","psychology"
"10.1177/0956797615588195","psychology"
"10.1073/pnas.1516868113","psychology"
"10.1177/0146167214524992","psychology"
"10.1177/0956797619854706","psychology"
"10.1145/3105726.3106182","education"
"10.1073/pnas.1501592112","psychology"
"10.1073/pnas.1701916114","philosophy"
"10.1177/0956797618760784","psychology"
"10.1017/epi.2013.23","philosophy"
"10.1037/0278-7393.34.3.495","psychology"
"10.1037/0022-3514.94.2.94.2.196","psychology"
"10.1257/aer.104.6.1735","economics_business"
"10.1037/0022-3514.94.4.560","psychology"
"10.1177/0093650215609676","media_communication_studies"
"10.1111/lang.12161","education"
"10.1111/j.1551-6709.2010.01161.x","psychology"
"10.1257/aer.101.7.3109","education"
"10.1177/0146167215580776","psychology"
"10.1177/1948550619843931","psychology"
"10.1111/ecin.12470",""
"10.1177/0956797616640705",""
"10.4148/1944-9771.1299",""
"10.1037/0278-7393.34.1.146",""
"10.1037/0278-7393.34.1.50",""
"10.1037/0278-7393.34.1.204",""
"10.1037/0278-7393.34.1.186",""
"10.1257/aer.102.5.2018",""
"10.1126/science.1190792",""
"10.1257/aer.101.2.470",""
"10.1111/1467-8284.00419",""
"10.1037/0096-3445.136.2.241",""
"10.1037/0022-3514.94.1.116",""
"10.1037/a0015960",""
"10.1037/0021-9010.77.4.419",""
"10.1111/j.1551-6709.2011.01210.x",""
"10.1126/science.1191465",""
"10.1093/qje/qjt035",""
"10.1126/science.1211180",""
"10.1111/j.1551-6709.2010.01164.x",""
"10.1037/0278-7393.34.2.369",""
"10.1177/0956797611429579",""
"10.1073/pnas.1601280113",""
"10.1177/0956797616685771",""
"10.1038/s41598-019-57204-1",""
"10.1111/j.1467-9280.2008.02085.x",""
"10.1002/bdm.586",""
"10.1037/a0031047",""
"10.1037/0022-3514.94.3.382",""
"10.1017/s1366728914000273",""
"10.1371/journal.pone.0154854",""
"10.1177/0956797611414726",""
"10.1073/pnas.1707040114",""
"10.1177/0956797613494853",""
"10.1073/pnas.1616921114",""
"10.1177/0956797620927967",""
"10.1037/0278-7393.34.2.399",""
"10.1257/aer.101.4.1211",""
"10.1037//0022-3514.83.1.44",""
"10.1037/0022-3514.94.1.48",""
"10.1073/pnas.1519401113",""
"10.1037/0278-7393.34.1.97",""
"10.1073/pnas.1805284115",""
"10.1177/0956797617705399",""
"10.1177/0956797615608267",""
"10.1002/jeab.432",""
"10.1073/pnas.2009030117",""
"10.1080/09515089.2014.894431",""
"10.1038/s41598-018-30314-y",""
"10.1037/0278-7393.34.1.243",""
"10.1037/0278-7393.34.3.546",""
"10.1073/pnas.0908963106",""
"10.1037/0022-3514.74.3.774",""
"10.1126/science.1222426",""
"10.1037/a0035663",""
"10.1111/1467-9280.00334",""
"10.1037/0022-3514.94.4.615",""
"10.1177/01461672952111004",""
"10.1037/0022-3514.94.4.718",""
"10.1037/0022-3514.94.2.245",""
"10.1073/pnas.1216438110",""
"10.1257/aer.101.6.2562",""
"10.1086/268936",""
"10.1111/j.1467-9280.2008.02081.x",""
"10.1111/j.1467-9280.2008.02053.x",""
"10.1037/0022-3514.95.1.76",""
"10.1177/0146167207309195",""
"10.1002/pam.21702",""
"10.1073/pnas.1705238114",""
"10.1037/a0019689",""
"10.1037/0022-3514.94.4.647",""
"10.1073/pnas.1717092115",""
"10.1037/0278-7393.34.1.249",""
"10.1073/pnas.1610834113",""
"10.1037/0022-3514.95.2.420",""
"10.1177/0956797619879441",""
"10.1073/pnas.2120668119",""
"10.1287/orsc.2021.1456",""
"10.1111/j.1467-9280.2008.02052.x",""
"10.1037/0278-7393.34.1.80",""
"10.1257/aer.102.2.720",""
"10.1037/a0012833",""
"10.1111/j.1467-9280.2008.02092.x",""
"10.1037/0278-7393.34.1.230",""
"10.1257/aer.104.11.3434",""
"10.1073/pnas.1805327115",""
"10.1089/cyber.2015.0311",""
"10.1177/0956797616669947",""
"10.3389/fpsyg.2014.01276",""
"10.1093/geronb/gbx099",""
"10.1037/0278-7393.34.3.439",""
"10.1037/0278-7393.34.1.219",""
"10.1177/0956797614547705",""
"10.1037/xge0001195",""
"10.1075/resla.17019.loz",""
"10.1126/science.1199327",""
"10.1037/0022-3514.73.4.733",""
"10.1093/analys/63.3.190",""
"10.1177/0956797610397956",""
"10.1126/science.1199427",""
"10.1037/0022-3514.94.1.91",""
"10.1037/0022-3514.94.1.16",""
"10.1111/j.1467-9280.2007.02004.x",""
"10.1037/0022-3514.94.3.516",""
"10.1257/aer.102.2.865",""
"10.1111/j.1467-9280.2008.02061.x",""
"10.1073/pnas.1706253114",""
"10.1073/pnas.1722664115",""
"10.1177/1948550612457688",""
"10.1111/j.1467-9280.2008.02057.x",""
"10.1111/j.1933-1592.2012.00609.x",""
"10.1126/science.1221936",""
"10.1111/j.1467-9280.2008.02051.x",""
"10.1163/156853706776931222",""
"10.1037/0022-3514.94.1.1",""
"10.1257/aer.102.7.3317",""
"10.1073/pnas.1523586113",""
"10.1111/j.1467-9280.2008.02066.x",""
"10.1038/s41467-018-06785-y",""
"10.1177/0956797618806296",""
"10.1073/pnas.2014505117",""
"10.1177/0956797615572231",""
"10.1037/0278-7393.34.1.65",""
"10.1037/0022-3514.94.4.696",""
"10.1257/aer.102.2.834",""
"10.1111/j.1467-9280.2008.02080.x",""
"10.1037/0022-3514.95.2.274",""
"10.1111/j.1467-9280.2008.02089.x",""
"10.1073/pnas.1508932113",""
"10.1037/0278-7393.34.2.430",""
"10.1177/0956797614558718",""
"10.1111/j.1467-9280.2008.02049.x",""
"10.1177/0956797618788882",""
"10.1037/0278-7393.34.1.128",""
"10.1037/0278-7393.34.2.408",""
"10.1073/pnas.1517662112",""
"10.1073/pnas.1606574113",""
"10.1073/pnas.1704032114",""
"10.1371/journal.pone.0071475",""
"10.1073/pnas.1516047113",""
"10.1126/science.1239918",""
"10.1111/j.1467-9280.2006.01704.x",""
"10.1037/0096-3445.136.4.569",""
"10.1111/j.1468-0017.2006.00297.x",""
"10.1111/j.1467-9280.2008.02091.x",""
"10.1037/a0019006",""
"10.1126/science.1250830",""
"10.1177/0956797611434537",""
"10.1177/0267658310386439",""
"10.1086/269239",""
"10.1111/j.1467-9280.2008.02098.x",""
"10.1177/0956797611428079",""
"10.1111/j.1467-9280.2008.02077.x",""
"10.1257/aer.103.4.1325",""
"10.5840/jphil20111081238",""
"10.1037/0022-3514.94.4.600",""
"10.1073/pnas.1707719114",""
"10.1037/0022-3514.94.1.158",""
"10.1037/a0032108",""
"10.1073/pnas.1607330114",""
"10.1037/0022-3514.94.3.495",""
"10.1037/0022-3514.95.2.293",""
"10.1111/j.1467-9280.2008.02042.x",""
"10.1037/a0034462",""
"10.1111/j.1467-9280.2008.02078.x",""
"10.1111/j.1467-9280.2008.02069.x",""
"10.1073/pnas.1505067112",""
"10.1073/pnas.2218961120",""
"10.1080/0951508042000202354",""
"10.1037/0278-7393.34.2.353",""
"10.1111/j.1467-9280.2008.02046.x",""
"10.1037/0278-7393.34.1.237",""
"10.1037/0278-7393.34.2.343",""
"10.1109/tse.2016.2527791",""
"10.1002/jeab.705",""
"10.1037/0278-7393.34.3.460",""
"10.1257/aer.101.2.927",""
"10.1037/0278-7393.34.3.524",""
"10.1111/j.1467-9280.2008.02044.x",""
